C.D.S.  -  SIMBAD4 rel 1.7  -  2021.12.13CET23:28:52

Vmag < 7
--------

Number of objects : 15714

  #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |     coord2 (ICRS,J2000/2000)      |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib |#not
-----|-----------------------------------|---|---------------------------------------|-----------------------------------|------|------|------|------|------|---------------------|-----|----
9043 |HD 1923                            |V* |00 23 22.1454086505 -29 50 50.111415665|005.8422725360439 -29.8472531710180|10.21 | 8.38 | 6.82 |     ~|     ~|M2III                |  20 |   0
9044 |HD 205935                          |*  |21 40 33.7112878647 -55 44 16.726392445|325.1404636994361 -55.7379795534568|     ~| 7.392| 6.328|     ~|     ~|K0II/III             |  14 |   0
9045 |HD 200205                          |*  |20 59 25.3838028648 +59 26 18.957776755|314.8557658452700 +59.4385993824320|     ~| 6.942| 5.526|     ~|     ~|K4III                |  39 |   0
9046 |HD 46288                           |** |06 30 40.67913 -40 26 53.3096          |097.66949639 -40.44814156          |     ~| 6.56 | 6.68 |     ~|     ~|B3IV                 |  13 |   1
9047 |* 5 CVn                            |*  |12 24 01.4946052553 +51 33 44.115130783|186.0062275218970 +51.5622542029953|     ~| 5.643| 4.761|     ~|     ~|G7IIIBa0.3           | 140 |   0
9048 |HD 69174                           |*  |08 18 28.8660590297 +54 33 49.835376568|124.6202752459570 +54.5638431601577|     ~| 6.86 | 6.60 |     ~|     ~|A5                   |  10 |   0
9049 |* iot Lup                          |V* |14 19 24.2221950 -46 03 29.143666      |214.8509258125 -46.0580954628      | 2.65 | 3.355| 3.529|     ~|     ~|B2.5IV               | 105 |   0
9050 |HD 122574                          |*  |14 01 49.3729140246 +40 25 12.144354012|210.4557204751024 +40.4200400983366|     ~| 8.003| 6.805|     ~|     ~|K2                   |  12 |   0
9051 |* 5 Tri                            |V* |02 11 25.0229864376 +31 31 35.024937885|032.8542624434899 +31.5263958160791|     ~| 6.351| 6.230|     ~|     ~|A1m                  |  49 |   0
9052 |* 26 Com                           |SB*|12 39 07.3035758513 +21 03 45.302728044|189.7804315660471 +21.0625840911234|     ~| 6.46 | 5.49 |     ~|     ~|G9IIIb               |  60 |   0
9053 |HD 63774                           |*  |07 50 48.5650540126 +05 51 33.527298068|117.7023543917190 +05.8593131383523|     ~| 6.99 | 6.96 |     ~|     ~|A2                   |   8 |   0
9054 |HD 142676                          |V* |15 59 50.0296179068 -64 51 14.938961541|239.9584567412782 -64.8541497115391|     ~| 8.60 | 6.85 |     ~|     ~|M0/1II               |  15 |   0
9055 |HD 95857                           |*  |11 03 16.0561357143 -31 57 39.056697694|165.8169005654764 -31.9608490826928|     ~| 8.029| 6.444|     ~|     ~|M2/3III              |  20 |   0
9056 |HD 13951                           |** |02 10 53.4239004791 -75 57 31.833701900|032.7225995853295 -75.9588426949723|     ~| 8.11 | 6.87 |     ~|     ~|K2III                |  11 |   0
9057 |* phi03 Cet                        |*  |00 56 01.4886688155 -11 15 59.498819166|014.0062027867312 -11.2665274497684|     ~| 6.852| 5.326|     ~|     ~|K5III                |  44 |   0
9058 |HD 61436                           |PM*|07 36 03.4974196994 -57 17 45.142979578|114.0145725820808 -57.2958730498827|     ~| 7.86 | 6.65 |     ~|     ~|K2III/IV             |   9 |   0
9059 |* 54 Eri                           |LP*|04 40 26.5115872790 -19 40 17.372298494|070.1104649469960 -19.6714923051371| 7.80 | 5.90 | 4.30 | 2.81 | 1.40 |M3/4III              |  70 |   0
9060 |HD 58325                           |*  |07 23 54.4332644734 -30 13 01.238468275|110.9768052686391 -30.2170106856319| 5.6  | 6.404| 6.587|     ~|     ~|B2III                |  51 |   0
9061 |HD 90980                           |*  |10 28 48.0137077479 -57 13 58.810014094|157.2000571156164 -57.2330027816929| 8.66 | 7.76 | 6.74 |     ~|     ~|K0III                |  16 |   0
9062 |V* V432 Sct                        |a2*|18 29 46.7596695702 -14 34 55.154259139|277.4448319565427 -14.5819872942052|     ~| 6.014| 6.027|     ~|     ~|ApEuCrEu             |  97 |   0
9063 |BD-07 1642                         |SB*|06 57 00.0944182207 -08 10 45.480416469|104.2503934092531 -08.1793001156859|     ~| 6.938| 6.337|     ~|     ~|G9.5III+A0IV:        |  45 |   0
9064 |HD 219659                          |V* |23 17 40.0835439656 -11 42 46.614521613|349.4170147665235 -11.7129484782257|     ~| 6.378| 6.327|     ~|     ~|A1/2IV/V             |  24 |   0
9065 |HD 42818                           |PM*|06 18 50.7763037 +69 19 11.231041      |094.7115679321 +69.3197864003      |     ~| 4.770| 4.757|     ~|     ~|A0Vn                 |  73 |   0
9066 |HD 40143                           |*  |05 59 24.8758340402 +45 37 10.695119905|089.8536493085009 +45.6196375333070|     ~| 6.86 | 6.83 |     ~|     ~|A0                   |  11 |   1
9067 |HD 60646                           |PM*|07 34 12.8260742005 -33 27 48.342285604|113.5534419758356 -33.4634284126678|     ~| 6.398| 6.095|     ~|     ~|A9IV                 |  28 |   0
9068 |HD 66920                           |*  |07 59 15.7654512676 -73 14 39.013310311|119.8156893802818 -73.2441703639752|     ~| 6.470| 6.327|     ~|     ~|A3III                |  28 |   0
9069 |HR 6989                            |** |18 38 04.4789647691 -14 00 17.183935558|279.5186623532045 -14.0047733154327|     ~| 6.68 | 6.47 |     ~|     ~|B8II/III             |  35 |   1
9070 |HD 45871                           |Be*|06 28 39.24252 -32 22 16.5985          |097.16351048 -32.37127735          | 4.92 | 5.57 | 5.74 |     ~|     ~|B3Ve                 |  52 |   0
9071 |HD 148512                          |*  |16 28 34.2919143522 +01 35 12.732526311|247.1428829764677 +01.5868701461976|     ~| 7.91 | 6.93 |     ~|     ~|G8/K0III             |   9 |   0
9072 |HD 48402                           |*  |06 40 47.4512638862 -47 37 17.459689332|100.1977135995257 -47.6215165803700| 5.97 | 6.502| 6.629|     ~|     ~|B3/5V                |  36 |   0
9073 |HD 185018                          |*  |19 36 52.4550012728 +11 16 23.508603510|294.2185625053035 +11.2731968343084|     ~| 6.834| 5.975|     ~|     ~|G0Ib-II              |  65 |   0
9074 |HD 5028                            |*  |00 50 52.4111737352 -71 09 05.168960797|012.7183798905634 -71.1514358224436|     ~| 7.32 | 6.85 |     ~|     ~|F6VFe-0.4            |  46 |   0
9075 |* 58 Psc                           |SB*|00 47 01.4510937908 +11 58 25.810680267|011.7560462241283 +11.9738363000741|     ~| 6.489| 5.504|     ~|     ~|G8II                 |  60 |   0
9076 |V* V599 Aql                        |EB*|19 02 34.1441905514 -10 43 18.392196425|285.6422674606308 -10.7217756101181| 6.41 | 6.830| 6.647|     ~|     ~|B3II/III             |  84 |   0
9077 |HD 28433                           |*  |04 33 19.0352789952 +64 10 11.229789820|068.3293136624801 +64.1697860527278|     ~| 7.94 | 6.86 |     ~|     ~|G5                   |  11 |   0
9078 |HD 202773                          |PM*|21 18 54.1790251105 -28 45 56.953604585|319.7257459379605 -28.7658204457180|     ~| 7.37 | 6.40 |     ~|     ~|K0IV                 |  17 |   0
9079 |* eta Ara                          |*  |16 49 47.1565275 -59 02 28.957499      |252.4464855312 -59.0413770831      |     ~| 5.306| 3.744|     ~|     ~|K5III                |  64 |   0
9080 |V* U Car                           |cC*|10 57 48.1866898409 -59 43 55.880151632|164.4507778743369 -59.7321889310088| 8.31 | 7.21 | 6.11 |     ~| 5.073|G5/8Iab              | 223 |   0
9081 |HD 219077                          |PM*|23 14 06.5879721389 -62 42 00.012417294|348.5274498839120 -62.7000034492483|     ~| 6.91 | 6.12 |     ~|     ~|G8V+                 | 101 |   1
9082 |HD 82685                           |** |09 37 56.20252 +73 04 49.4184          |144.48417718 +73.08039399          | 6.690| 6.690| 6.380|     ~|     ~|F2V                  |  36 |   0
9083 |HD 124425                          |SB*|14 13 40.7900398020 -00 50 43.672377393|213.4199584991748 -00.8454645492759|     ~| 6.38 | 5.90 |     ~|     ~|F6V                  | 109 |   0
9084 |HD 89344                           |PM*|10 19 00.7060502515 +24 42 43.696624154|154.7529418760480 +24.7121379511539| 9.350| 7.790| 6.400|     ~|     ~|K0                   |  17 |   0
9085 |HD 22306                           |*  |03 36 46.9253622109 +34 20 51.316826408|054.1955223425454 +34.3475880073356| 9.690| 8.220| 6.890|     ~|     ~|K0                   |   9 |   0
9086 |HD 72936                           |PM*|08 34 11.3746384968 -36 54 22.308228412|128.5473943270700 -36.9061967301144| 7.09 | 7.10 | 6.70 |     ~|     ~|F3/5V                |  23 |   0
9087 |HD 15165                           |dS*|02 26 45.6479225723 +10 33 55.067355855|036.6901996773847 +10.5652964877376|     ~| 6.94 | 6.69 |     ~|     ~|F0IV                 |  89 |   0
9088 |HD 74243                           |SB*|08 44 10.1334250464 +36 55 06.034270313|131.0422226043599 +36.9183428528646| 7.000| 6.980| 6.550|     ~|     ~|F7V                  |  48 |   0
9089 |V* TU CVn                          |LP*|12 54 56.5218661991 +47 11 48.173985326|193.7355077758294 +47.1967149959240| 8.96 | 7.39 | 5.84 |     ~|     ~|M5-III-IIIa          |  91 |   0
9090 |HD 152220                          |*  |16 54 31.5551753140 -49 42 38.894610795|253.6314798971418 -49.7108040585542|     ~| 7.96 | 6.46 |     ~|     ~|K1II                 |  10 |   0
9091 |HD 184875                          |*  |19 34 41.2618545206 +42 24 45.039482154|293.6719243938360 +42.4125109672649|     ~| 5.396| 5.336|     ~|     ~|A2V                  |  48 |   0
9092 |HD 145894                          |*  |16 13 45.4353693084 -08 07 04.829692290|243.4393140387852 -08.1180082478584|     ~| 7.94 | 6.87 |     ~|     ~|K0III                |  13 |   0
9093 |HD 216608                          |** |22 53 40.1607383513 +44 44 56.958518468|343.4173364097971 +44.7491551440189|     ~| 6.075| 5.808|     ~|     ~|kA3VmF2III/IVp       | 128 |   0
9094 |* 83 Leo                           |** |11 26 45.8 +03 00 35                   |171.6908 +03.0097                  | 7.63 | 7.01 | 6.16 |     ~|     ~|~                    | 210 |   0
9095 |HD 100228                          |*  |11 31 35.5422344144 -44 44 18.472852986|172.8980926433934 -44.7384646813850|     ~| 8.48 | 6.95 |     ~|     ~|K4/5III              |  10 |   0
9096 |HD 146981                          |PM*|16 21 36.9176748339 -51 45 03.887476361|245.4038236451412 -51.7510798545448|     ~| 8.13 | 6.86 |     ~|     ~|K2IIICNIb            |   8 |   0
9097 |HD 107543                          |*  |12 21 57.4277334164 -56 22 27.784017467|185.4892822225682 -56.3743844492965|     ~| 7.430| 5.884|     ~|     ~|K4III+(F)            |  15 |   0
9098 |NGC 6397                           |GlC|17 40 42.09 -53 40 27.6                |265.17538 -53.67433                |     ~| 7.39 | 5.17 |     ~|     ~|~                    |1859 |   1
9099 |V* V1054 Sco                       |EB*|16 20 28.2120387875 -12 54 39.762265981|245.1175501616148 -12.9110450738836|     ~| 6.92 | 6.57 |     ~|     ~|F0III/IV             |  31 |   0
9100 |HD 203949                          |HB*|21 26 22.8744520347 -37 49 45.953912223|321.5953102168114 -37.8294316422842|     ~| 6.826| 5.620|     ~|     ~|K2III                |  42 |   0
9101 |HD 24504                           |*  |03 55 58.1754635361 +47 52 17.095013909|058.9923977647336 +47.8714152816415|     ~| 5.297| 5.379|     ~|     ~|B6V                  |  73 |   0
9102 |V* QS Aql                          |EB*|19 41 05.5283099 +13 48 56.450213      |295.2730346246 +13.8156806147      |     ~| 5.907| 5.996|     ~|     ~|B5V                  | 145 |   1
9103 |HD 60341                           |PM*|07 33 19.5648291025 -19 24 45.095157733|113.3315201212603 -19.4125264327035|     ~| 6.765| 5.630|     ~|     ~|K0III                |  47 |   0
9104 |HD 163755                          |*  |17 59 05.281 -30 15 10.88              |269.772004 -30.253022              |     ~| 6.93 | 5.17 |     ~|     ~|M1Ib                 |  47 |   0
9105 |HD 32263                           |V* |05 01 50.3526528682 +00 43 19.594219596|075.4598027202842 +00.7221095054433|     ~| 7.188| 5.908|     ~|     ~|K2III                |  22 |   0
9106 |HD 101730                          |PM*|11 42 25.5413394566 +02 21 43.594885703|175.6064222477359 +02.3621096904731|     ~| 7.40 | 6.95 |     ~|     ~|F5V                  |  32 |   0
9107 |* t Vel                            |** |10 32 56.8592909744 -47 00 12.095977719|158.2369137123934 -47.0033599938109|     ~| 6.116| 5.027|     ~|     ~|K1/2III              |  28 |   0
9108 |HD 106068                          |*  |12 12 21.9798375290 -62 57 02.787321889|183.0915826563708 -62.9507742560803| 5.90 | 6.28 | 5.98 | 5.64 | 5.39 |B8Ia/ab              |  77 |   0
9109 |* 32 Sco                           |PM*|17 21 41.5617157118 -24 54 21.973256546|260.4231738154657 -24.9061036823739|     ~| 7.76 | 6.36 |     ~|     ~|K3III                |  16 |   0
9110 |* l Cen                            |** |12 39 52.5283944 -39 59 14.290592      |189.9688683100 -39.9873029422      | 4.16 | 4.56 | 4.64 | 4.66 | 4.75 |B8II/III             | 107 |   0
9111 |* 12 Her                           |*  |16 14 42.2411315603 +07 51 29.673062528|243.6760047148345 +07.8582425173688|     ~| 7.88 | 6.58 |     ~|     ~|K0                   |  12 |   0
9112 |* c Her                            |** |17 08 02.0650759598 +35 56 06.676640046|257.0086044831659 +35.9351879555684|     ~| 5.70 | 5.39 |     ~|     ~|kA5hF0VmF2           | 146 |   0
9113 |HD 155951                          |PM*|17 18 51.7071028240 -62 52 28.477869680|259.7154462617668 -62.8745771860223|     ~| 7.58 | 6.49 |     ~|     ~|K1III                |   8 |   0
9114 |HD 128068                          |V* |14 36 19.0301951388 -46 14 43.621717417|219.0792924797452 -46.2454504770604| 8.75 | 7.03 | 5.55 |     ~|     ~|K3III                |  50 |   0
9115 |HD 50316                           |*  |06 54 07.5820098948 +32 30 40.946722185|103.5315917078950 +32.5113740894959|     ~| 6.94 | 6.95 |     ~|     ~|B9                   |  11 |   0
9116 |HD 78643                           |PM*|09 08 36.6115251963 -25 50 22.188470157|137.1525480216512 -25.8394967972658|     ~| 7.46 | 6.85 |     ~|     ~|G0/1V                |  54 |   0
9117 |HD 57120                           |** |07 18 33.40647 -30 47 55.6386          |109.63919364 -30.79878851          |     ~| 6.79 | 6.98 |     ~|     ~|B2V                  |  25 |   1
9118 |HD 41381                           |*  |06 04 42.8348042665 -01 34 49.668549964|091.1784783511104 -01.5804634861012|     ~| 7.04 | 6.95 |     ~|     ~|A1V                  |  11 |   0
9119 |HD 154212                          |*  |17 04 33.3391684043 -11 05 18.591903483|256.1389132016847 -11.0884977509676|     ~| 8.42 | 6.90 |     ~|     ~|K2III/IV             |  10 |   0
9120 |HD 123247                          |*  |14 07 40.8075155890 -48 42 14.498480468|211.9200313149543 -48.7040273556856| 6.390| 6.415| 6.418|     ~|     ~|B9.5V                |  30 |   0
9121 |HD 207991                          |*  |21 51 55.3829139638 +48 26 13.588955326|327.9807621415159 +48.4371080431460|     ~| 8.478| 6.850|     ~|     ~|K4-III               |  49 |   0
9122 |HD 23383                           |*  |03 47 32.1501493627 +55 55 19.038645384|056.8839589556780 +55.9219551792732| 7.763| 6.063| 6.082|     ~|     ~|B9Vnn                |  48 |   0
9123 |HD 60437                           |*  |07 36 31.6345009627 +46 10 49.036835731|114.1318104206781 +46.1802880099254| 9.11 | 7.21 | 5.65 |     ~|     ~|M0III                |  43 |   0
9124 |HD 133388                          |V* |15 01 27.0986143066 +60 12 15.882502194|225.3629108929443 +60.2044118061651| 6.130| 6.030| 5.920|     ~|     ~|A4V                  |  34 |   0
9125 |HD 223913                          |PM*|23 53 39.8792825152 -65 56 49.688134486|358.4161636771468 -65.9471355929128|     ~| 7.23 | 6.65 |     ~|     ~|G0V                  |  35 |   0
9126 |HD 55866                           |*  |07 17 33.7183029713 +52 07 51.849691760|109.3904929290469 +52.1310693588221|     ~| 7.201| 5.918|     ~|     ~|K1III:               |  17 |   0
9127 |HD 217107                          |** |22 58 15.5411942071 -02 23 43.387117210|344.5647549758629 -02.3953853103361|     ~| 6.919| 6.163|     ~|     ~|G8IV/V               | 346 |   1
9128 |HD 59033                           |PM*|07 32 02.2177093600 +61 45 28.023888656|113.0092404556668 +61.7577844135155|     ~| 7.670| 6.694|     ~|     ~|G5                   |  21 |   0
9129 |HD 215359A                         |*  |22 44 05.211 +39 27 55.10              |341.021713 +39.465306              |     ~| 7.554| 5.991|     ~|     ~|K5III                |   1 |   0
